id,name,country,wealth_source,years_as_billionaire,net_worth_best_usd_billions,net_worth_as_of,liquidity_pct,tier,tier_rank,observable_giving_usd,expected_giving_usd,hidden_upper_usd,obs_vs_capacity_ratio,obs_vs_nw_ratio,giving_pledge_signed,sources_count,cited_event_count,right_of_reply_status,red_flags,foundations_active,llcs,profile_url
larry_ellison,Larry Ellison,United States,Oracle Corp. co-founder; 41% ownership stake; also significant Tesla holdings and Lawrence Investments family office,25,227.6,2026-04,0.25,B_PROBABLY_LOW,,467500000,5690000000,5455000000,0.0822,0.00205,False,15,13,not_yet_requested,GIVING_PLEDGE_UNFULFILLED; POLITICAL_DOMINATES_CHARITABLE; FOR_PROFIT_PIVOT; NET_WORTH_SURGE_WITHOUT_GIVING_MATCH,The Larry Ellison Foundation,0,profile.html?id=larry_ellison
miriam_adelson,Miriam Adelson,United States (dual Israeli citizenship),"Las Vegas Sands Corp. — majority stake inherited from husband Sheldon G. Adelson (died Jan 2021). Also: co-owner Dallas Mavericks (Dec 2023, ~69% via family), publisher Israel Hayom, co-owner Las Vegas Review-Journal.",5,35.0,2026-04,0.35,B_PROBABLY_LOW,,839165109,612500000,1675000000,1.37,0.024,False,21,23,not_yet_requested,POLITICAL_SUBSTITUTION_DOMINANT; NO_GIVING_PLEDGE_SIGNATURE; FOUNDATION_GIVING_DECLINING_POST_SHELDON; MARKETING_CLAIM_EXCEEDS_FILINGS; POLITICAL_INFLUENCE_SELF_INTEREST_OVERLAP,Adelson Family Foundation; Dr Miriam and Sheldon G Adelson Medical Research Foundation,0,profile.html?id=miriam_adelson
rob_walton,Rob Walton,United States,"Walmart Inc. — eldest son of founder Sam Walton; Walmart chairman 1992-2015, chairman emeritus thereafter. Walton family collectively owns ~45% of Walmart. Also principal owner of Denver Broncos (2022 purchase for $4.65B), 25.5% stake in Arvest Bank (~$2.3B book).",35,143.1,2026-04,0.2,B_PROBABLY_LOW,,1521149148,2862000000,898338709,0.531,0.01063,False,17,17,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; LOW_OBSERVABLE_VS_WEALTH; POLITICAL_SURGE_2024; JOINT_FAMILY_FOUNDATION_OPACITY,Walton Family Foundation Inc; Rob and Melani Walton Foundation,0,profile.html?id=rob_walton
sergey_brin,Sergey Brin,United States,Alphabet / Google co-founder; large Class B and Class C Alphabet stake; Bayshore Global Management (family office) manages non-Alphabet holdings including Tesla stock,22,248.4,2026-04,0.45,B_PROBABLY_LOW,,2439200000,11178000000,750000000,0.218,0.00982,False,36,27,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; POLITICAL_GIVING_TO_BLOCK_WEALTH_TAX; 501C4_SIZE_APPROACHING_C3; FOUNDATION_LAG_DURING_WEALTH_SURGE,Sergey Brin Family Foundation; Catalyst4 Inc.,0,profile.html?id=sergey_brin
stephen_ross,Stephen Ross,United States,"Related Companies (real estate development — Hudson Yards, Deutsche Bank Center/Time Warner Center); Miami Dolphins NFL team (~94% stake); Equinox Holdings (SoulCycle, Equinox Fitness); Related Ross (West Palm Beach); Formula 1 Miami Grand Prix stake",18,17.0,2026-04,0.25,B_PROBABLY_LOW,,665716850,425000000,2135000000,1.5664,0.0391,False,21,16,not_yet_requested,GIVING_PLEDGE_UNFULFILLED; POLITICAL_HEAVY; LOW_PAYOUT_2024; UNEXAMINED_DAF_RISK; SPORTS_TEAM_AS_PRIMARY_WEALTH_LOCK,Stephen M Ross Foundation; Related Ross Foundation Inc,0,profile.html?id=stephen_ross
stephen_schwarzman,Stephen Schwarzman,United States,"Blackstone Inc. co-founder, chairman & CEO; owns ~19% of publicly-traded Blackstone; also large annual compensation/dividend income ($1.2B in 2025)",18,47.8,2026-04,0.4,B_PROBABLY_LOW,,1053500000,1912000000,12140000000,0.551,0.022,False,28,19,not_yet_requested,GIVING_PLEDGE_UNFULFILLED; POLITICAL_HEAVY; POSTHUMOUS_DEFERRAL; NAMING_RIGHTS_PATTERN,Stephen A Schwarzman Foundation; Stephen A Schwarzman Education Foundation,0,profile.html?id=stephen_schwarzman
steve_ballmer,Steve Ballmer,United States,"Microsoft — joined 1980 as employee #30, granted 8% equity stake by Bill Gates; CEO 2000-2014; retains ~4% ownership (~333M shares). Also LA Clippers (purchased 2014 for $2B; Sportico valuation ~$6.72B Oct 2025) and The Forum.",25,132.3,2026-01 to 2026-02,0.55,B_PROBABLY_LOW,,5070000000,7260000000,850000000,0.6983,0.0384,False,32,10,not_yet_requested,LLC_OPACITY; DAF_TRANSFERS; POLITICAL_HEAVY; NO_PRIVATE_FOUNDATION,,1,profile.html?id=steve_ballmer
steve_cohen,Steve Cohen,United States,"Hedge fund founder — SAC Capital Advisors (1992-2016); Point72 Asset Management (2014-present, ~$45.7B AUM). Owner of NY Mets (acquired controlling stake Sept 2020 for $2.4B). Major art collector.",25,23.0,2026-04,0.5,B_PROBABLY_LOW,,811600000,1150000000,315000000,0.706,0.0353,False,19,21,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; POLITICAL_GIVING_DEFENSIVE_PATTERN; SAC_INSIDER_TRADING_CONTEXT,Steven & Alexandra Cohen Foundation Inc,0,profile.html?id=steve_cohen
john_malone,John Malone,United States,"Cable TV (TCI, sold to AT&T 1999); Liberty Media / Liberty Global / Warner Bros. Discovery / QVC Group tracking stocks; also ranching and real estate (Silver Spur Ranches, Bar Lazy Seven, etc.) — largest private landowner in US from 2011-2021 (~2.2M acres), since surpassed to #3",26,11.1,2026-04,0.35,C_OPAQUE,,290000000,388500000,1565000000,0.747,0.0261,False,18,22,not_yet_requested,NO_GIVING_PLEDGE_SIGNATURE; LOW_OBSERVABLE_VS_WEALTH; CONSERVATION_EASEMENT_RETAINED_USE; MFLPF_LOW_PAYOUT_AS_PCT_ASSETS,The Malone Family Foundation; Malone Family Land Preservation Foundation,0,profile.html?id=john_malone
laurene_powell_jobs,Laurene Powell Jobs,United States,Inherited from Steve Jobs (d. Oct 2011) via Steven P. Jobs Trust — principally Apple shares and 7.3% Disney stake from Pixar sale. Holdings diversified post-2011 (half Disney stake sold 2017 for ~$7B pre-tax; annual ~10% Apple sell-down through 2021). Operates Emerson Collective LLC as unified investment + philanthropy + media vehicle.,14,14.3,2026-04,0.55,C_OPAQUE,,1216800000,1101100000,6100000000,1.105,0.0851,True,19,10,not_yet_requested,LLC_OPACITY; NO_GIVING_PLEDGE_SIGNATURE; FOR_PROFIT_HYBRID_COMMINGLING,Waverley Street Foundation (formerly Emerson Collective Foundation),1,profile.html?id=laurene_powell_jobs
len_blavatnik,Len Blavatnik,"United States (also United Kingdom, Greece)","Access Industries (founded 1986). Fortune built through post-Soviet aluminum (Sual/Rusal) and oil (Tyumen Oil / TNK-BP joint venture with Viktor Vekselberg and Mikhail Fridman's Alfa Group; sold 50% stake to Rosneft in 2013 for ~$28B gross, ~$7B personal). Now chairman of Warner Music Group (acquired 2011), ~21% stake in LyondellBasell, owner of DAZN, significant real estate and venture portfolio.",20,29.9,2026-03,0.45,C_OPAQUE,,812693182,1345500000,240000000,0.604,0.0272,False,38,28,not_yet_requested,NO_GIVING_PLEDGE; REPUTATION_LAUNDERING_ALLEGATION; POLITICAL_GIVING_HEAVY; PLEDGE_UNDERDISBURSED_WMG_SJF,Blavatnik Family Foundation; Blavatnik Family Foundation 2020; Warner Music Group Blavatnik Family Foundation Social Justice Fund; Blavatnik Archive Foundation,0,profile.html?id=len_blavatnik
mark_zuckerberg,Mark Zuckerberg,United States,Meta Platforms co-founder & CEO; ~13% ownership stake (as of Nov 2025 Bloomberg filing); also Zuckerberg private investments / family office,18,230,2026-04,0.2,C_OPAQUE,,4365000000,4140000000,3455000000,1.054,0.019,False,28,21,not_yet_requested,LLC_OPACITY; FOR_PROFIT_PIVOT; GIVING_PLEDGE_UNFULFILLED_TO_DATE; DAF_TRANSFERS_OPACITY; BORDERLINE_LOW_PAYOUT_CZIF; SOCIAL_ADVOCACY_WINDDOWN_2025,Chan Zuckerberg Initiative Foundation; Chan Zuckerberg Biohub Inc; Chan Zuckerberg Initiative Advocacy,1,profile.html?id=mark_zuckerberg
david_rubenstein,David Rubenstein,United States,"Carlyle Group co-founder (1987); private equity carried interest; Declaration Partners family office (~$2B AUM, 2017-); principal owner Baltimore Orioles (2024-)",20,4.5,2026-04,0.5,ON_TRACK,,511770000,225000000,50000000,2.27,0.114,False,24,28,not_yet_requested,POLITICAL_PATRIOTIC_PR_PATTERN; LOANED_NOT_DONATED_ASSETS_INFLATE_LIFETIME_TOTAL; CARRIED_INTEREST_BENEFICIARY_WHILE_LOBBYING_AGAINST_REFORM,Rubenstein Foundation (David B Rubenstein Et Al Ttee),0,profile.html?id=david_rubenstein
dustin_moskovitz,Dustin Moskovitz,United States,Facebook (Meta) co-founder; Asana co-founder and former CEO; residual Meta holdings plus Asana equity drive net worth,15,10.2,2026-04,0.55,ON_TRACK,,5000000000,841500000,0,5.94,0.49,False,22,14,not_yet_requested,,Good Ventures Foundation; Good Ventures (501(c)(3) — separate entity),4,profile.html?id=dustin_moskovitz
henry_kravis,Henry Kravis,United States,KKR & Co. co-founder (1976) and co-executive chairman; pioneer of leveraged buyouts. Wealth is concentrated in KKR stock plus decades of fund carry distributions.,30,11.5,2026-03,0.55,ON_TRACK,,623855931,632500000,2030000000,0.986,0.054,False,30,24,not_yet_requested,,The Marie-Josée and Henry R. Kravis Foundation,0,profile.html?id=henry_kravis
jeff_skoll,Jeff Skoll,"United States (Canadian-born, dual citizen)","eBay founding president and first full-time employee (1996-2001); cashed out ~$2B of eBay stock post-1998 IPO. Current holdings via Capricorn Investment Group (family office, ~$5B AUM, ESG/impact-focused). Wealth has DECLINED from a peak as a result of philanthropic disbursements and Participant Media losses.",28,4.5,2026-04,0.6,ON_TRACK,,1200000000,270000000,100000000,4.4444,0.267,False,17,14,not_yet_requested,,Skoll Foundation; The Skoll Fund,1,profile.html?id=jeff_skoll
leon_cooperman,Leon Cooperman,United States,"Omega Advisors hedge fund founder (1991-2018, converted to family office); prior 25-year career at Goldman Sachs, rose to chairman/CEO of Goldman Sachs Asset Management",20,3.3,2026-04,0.85,ON_TRACK,,230447565,280500000,1570000000,0.821,0.0698,False,17,22,not_yet_requested,SEC_INSIDER_TRADING_SETTLEMENT; PAYOUT_AT_LEGAL_FLOOR; FOUNDATION_DYNASTY_STRUCTURE,Leon and Toby Cooperman Family Foundation,0,profile.html?id=leon_cooperman
lukas_walton,Lukas Walton,United States,"Walmart Inc. — third-generation heir; grandson of founder Sam Walton; only child of John T. Walton (died 2005 plane crash) and Christy Walton. Inherited the bulk of his father's estate (approximately one-third per some sources; 'biggest beneficiary' per Bloomberg court-document analysis). Holds ~3.7% Walmart stake. Also founded S2G Ventures (2014, food/ag impact VC; spun out as RIA May 2024) and serves as Executive Chairman/Founder of Builders Vision, his family office/impact platform managing ~$15B across venture capital, philanthropy (Builders Initiative), and sustainable asset management (Builders Asset Management).",20,40,2026-04,0.25,ON_TRACK,,339864000,2000000000,635000000,0.34,0.0085,False,33,16,not_yet_requested,FOR_PROFIT_HYBRID_CONFLATION; DAF_TRANSFERS; LOW_PAYOUT_HISTORICAL; JOINT_FAMILY_FOUNDATION_PRORATA_AMBIGUITY,Builders Initiative Inc (Builders Initiative Foundation),1,profile.html?id=lukas_walton
mackenzie_scott,MacKenzie Scott,United States,"Amazon divorce settlement 2019 — received ~25% of the couple's Amazon shares (~4% of Amazon outstanding, ~19.7M shares at settlement), tax-free under IRC §1041. No operating-company role. Author. Post-divorce wealth managed through family office Lost Horse LLC (Seattle, est. late 2019).",7,38.0,2026-04,0.85,ON_TRACK,,26300000000,2261800000,200000000,11.63,0.692,False,26,7,not_yet_requested,,,1,profile.html?id=mackenzie_scott
melinda_french_gates,Melinda French Gates,United States,"Divorce settlement from Bill Gates (Cascade Investment transferred ~$2.4B in securities in May 2021 — AutoNation, Canadian National Railway, Coca-Cola FEMSA, Grupo Televisa); plus $12.5B received from Gates Foundation in 2024 upon resignation as co-chair, earmarked by her for women-and-families philanthropy. No operating-company stake of her own — wealth is entirely a derived/transferred position from her ex-spouse's Microsoft fortune.",5,30.4,2026-02,0.85,ON_TRACK,,543000000,1292000000,560000000,0.42,0.0179,False,27,11,not_yet_requested,LLC_OPACITY; DAF_TRANSFERS; MULTIPLE_SHELL_FOUNDATIONS_AWAITING_DEPLOYMENT,Pivotal Philanthropies Foundation; Pivotal Philanthropies Opportunity Foundation; Pivotal Philanthropies Pathways Foundation; Pivotal Philanthropies Momentum Foundation; Firefinch Foundation,1,profile.html?id=melinda_french_gates
michael_bloomberg,Michael Bloomberg,United States,"Bloomberg L.P. (financial data/media terminal, founded 1981) — sole owner of ~88% of the company; also former 3-term mayor of New York City",30,109,2026-04,0.15,ON_TRACK,,21100000000,1635000000,95500000000,12.9,0.194,False,30,22,not_yet_requested,,Bloomberg Family Foundation Inc. (dba Bloomberg Philanthropies),0,profile.html?id=michael_bloomberg
michael_dell,Michael Dell,United States,Dell Technologies founder/CEO (~45-50% stake); also Broadcom stake (from 2023 VMware sale to Broadcom for $68B); DFO Management / MSD Capital family office; Secureworks stake,34,135.0,2026-04,0.35,ON_TRACK,,1064200000,4725000000,2510000000,0.225,0.0079,False,30,16,not_yet_requested,DAF_TRANSFERS; LOW_PAYOUT_RATIO_WATCH; TRUMP_ACCOUNTS_NOT_CLEARLY_CHARITABLE; GIVING_PLEDGE_NOT_SIGNED,Michael & Susan Dell Foundation,0,profile.html?id=michael_dell
phil_knight,Phil Knight,United States,"Nike, Inc. co-founder (1964, originally Blue Ribbon Sports); largest shareholder and chairman emeritus. Also holds Laika (stop-motion animation studio, owned via son Travis Knight) and other private investments.",30,35.4,2026-04,0.55,ON_TRACK,,3279053559,1947000000,450000000,1.684,0.0926,False,23,19,not_yet_requested,LOW_PAYOUT_NEAR_MINIMUM; POTENTIAL_DAF_ROUTING; OHSU_2B_PLEDGE_STATUS_UNKNOWN; POLITICAL_HEAVY_STATE_LEVEL,"Knight Foundation (Phil & Penny Knight private foundation, Beaverton OR)",0,profile.html?id=phil_knight
pierre_omidyar,Pierre Omidyar,United States,eBay founder (1995); remaining ~4% eBay + ~5% PayPal (post-2015 spinoff) stakes; also Omidyar Network hybrid philanthropy/investment platform,28,10.6,2026-04,0.55,ON_TRACK,,2000000000,583000000,50000000,3.43,0.189,False,19,22,not_yet_requested,,Omidyar Network Fund Inc; Democracy Fund Inc; Humanity United; Humanity United Action; Democracy Fund Voice; Luminate Foundation Inc; First Look Institute Inc (formerly First Look Media Works),2,profile.html?id=pierre_omidyar
ray_dalio,Ray Dalio,United States,"Bridgewater Associates — founder 1975, world's largest hedge fund at peak (~$124B AUM). Sold his last shares of Bridgewater in July 2025 for ~$6.8B cash. Remaining wealth is diversified across cash, family office holdings, and real estate.",14,20.0,2026-04,0.7,ON_TRACK,,583500000,1400000000,2550000000,0.4168,0.0292,False,22,18,not_yet_requested,LOW_PAYOUT_MULTI_YEAR; GOVERNANCE_CONTROVERSY_CT_PARTNERSHIP; DUAL_ENTITY_STRUCTURE_UNVERIFIED_FLOW,Dalio Foundation Inc; Dalio Family Fund Inc,0,profile.html?id=ray_dalio
reed_hastings,Reed Hastings,United States,Netflix Inc. co-founder (1997); served as CEO 1999-2023; Executive Chairman 2023-2026; announced exit from Netflix board April 2026. Wealth now concentrated in remaining Netflix stock (<1% of outstanding after 2024 gifts + sales) plus diversified liquid assets. Former Pure Software founder (sold 1997).,14,5.8,2026-04,0.7,ON_TRACK,,0,405300000,50000000,0.0,,False,26,8,not_yet_requested,DAF_HEAVY; DAF_OUTFLOWS_UNVERIFIABLE; POLITICAL_HEAVY,,0,profile.html?id=reed_hastings
richard_kinder,Richard Kinder,United States,Co-founder and Executive Chairman of Kinder Morgan Inc. (KMI) — North America's largest energy infrastructure / pipeline operator. Majority of fortune from ~12% stake in KMI. Co-founded with William Morgan in 1997 after leaving Enron as president/COO.,20,13.0,2026-04,0.55,ON_TRACK,,858403683,715000000,50000000,1.2,0.066,False,16,19,not_yet_requested,,Kinder Foundation,0,profile.html?id=richard_kinder
stanley_druckenmiller,Stanley Druckenmiller,United States,"Duquesne Capital (founded 1981, closed 2010 with $12B AUM); former lead portfolio manager at Soros Fund Management (1988-2000, including the 1992 Black Wednesday sterling trade); now runs Duquesne Family Office (~$10.8B AUM per Bloomberg Dec 2024)",20,10.0,2026-04,0.85,ON_TRACK,,662862812,850000000,800000000,0.78,0.0663,False,26,15,not_yet_requested,,Druckenmiller Foundation,0,profile.html?id=stanley_druckenmiller
warren_buffett,Warren Buffett,United States,"Berkshire Hathaway — chairman, CEO (stepping down end of 2025) and largest individual shareholder; essentially 100% Berkshire common stock at time of 2006 pledge (98%+ of net worth)",40,148.9,2026-01,0.85,ON_TRACK,,60000000000,12660000000,148500000000,4.74,0.403,False,35,17,not_yet_requested,,,0,profile.html?id=warren_buffett
